id,title,artist,genre
389,AEAO,Dynamic Duo/DJ Premier,Korean
390,Strategy,Olivia Marsh,Korean
391,Pop Pop,itssiu/seoseo (서서),Korean
392,Skrr,HAON/GISELLE,Korean
393,SHOOT (Firecracker),彩瑛,Korean
394,Heart Drop,RESCENE,Korean
395,Kitsch,IVE,Korean
396,Push Back,AtHeart,Korean
397,Last Forever,i-dle,Korean
398,Takedown,HUNTR/X/EJAE/Audrey Nuna/REI AMI/KPop Demon Hunters Cast,Korean
399,Hold Up,Neo/Jeiff,Korean
400,FENDI,宋雨琦,Korean
401,DANCING ALONE,KiiiKiii,Korean
402,Beat-Boxer (English Version),NEXZ,Korean
403,Chocolate,BAEKHYUN,Korean
404,Air,礼志 (YEJI),Korean
405,HER,MINNIE,Korean
406,딱 1년만 (Feat. 10CM),BIG Naughty/10cm,Korean
407,BODY,MEOVV,Korean
408,Positive,Jamback,EDM
409,Jamaican (Bam Bam),HUGEL/SOLTO (FR),EDM
410,Coming Up (It’s Dare),Odd Mob/OMNOM/HYPERBEAM,EDM
411,Love Songs (feat. Kosmo Kint),Prospa/Kosmo Kint,EDM
412,Diet Coke,Fallon (IE),EDM
413,I Cannot,Anti Up,EDM
414,Feels Like Us,DEVAULT,EDM
415,Love Parade,Cassian/Yotto/Da Hool,EDM
416,GOAT,BLOND:ISH/Darco/Broken Hill,EDM
417,Fancy $hit,CID/Taylr Renee,EDM
418,Same Man (DERON Rework),Deron/Dj Delicious,EDM
419,All The DJs,Patrick Topping,EDM
420,Hold It Down (DARE),Layton Giordani,EDM
421,Cry For You (2025),SIDEPIECE,EDM
422,Talk of the Town,Fred again../Sammy Virji/reggie,EDM
423,Bullshit,Matroda/KLP,EDM
424,Control,Jay de Lys,EDM
425,Take It Back (To The Old School),Sidney Charles,EDM
426,Sound of You (ft TEED),ANOTR/TEED,EDM
427,I Wanna Go,Britney Spears,EDM
428,Till I Die,Anyma/Solomun/Claudia Valentina,EDM
429,PYHU (Put Your Hands Up),HUGEL/Kurd Maverick,EDM
430,Call You Back,Layton Giordani/GENESI/Be No Rain,EDM
431,Waitin',HotLap,EDM
